uf;br_formatada;municipio;mes;trimestre;dia_semana;dia_semana_num;fim_de_semana;hora;faixa_horaria;turno;fase_dia;causa_acidente;tipo_acidente;condicao_metereologica;tipo_pista;tracado_via;uso_solo;acidente_fatal
PE;BR-104;CARUARU;3;1;SEXTA-FEIRA;4;0;19;18H-20H;NOITE;PLENA NOITE;AUSÊNCIA DE REAÇÃO DO CONDUTOR;COLISÃO TRASEIRA;CÉU CLARO;DUPLA;RETA;SIM;0
SP;BR-116;SANTA ISABEL;3;1;SEXTA-FEIRA;4;0;22;21H-23H;NOITE;PLENA NOITE;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;QUEDA DE OCUPANTE DE VEÍCULO;CÉU CLARO;DUPLA;RETA;NÃO;0
MG;BR-116;MANHUACU;3;1;SEXTA-FEIRA;4;0;22;21H-23H;NOITE;PLENA NOITE;TRANSITAR NO ACOSTAMENTO;ATROPELAMENTO DE PEDESTRE;CÉU CLARO;SIMPLES;RETA;SIM;0
SC;BR-101;SAO JOSE;3;1;SEXTA-FEIRA;4;0;21;21H-23H;NOITE;PLENA NOITE;CONDUTOR DEIXOU DE MANTER DISTÂNCIA DO VEÍCULO DA FRENTE;COLISÃO TRASEIRA;NUBLADO;MÚLTIPLA;RETA;SIM;0
SP;BR-381;ATIBAIA;3;1;SEXTA-FEIRA;4;0;22;21H-23H;NOITE;PLENA NOITE;AUSÊNCIA DE REAÇÃO DO CONDUTOR;CAPOTAMENTO;CÉU CLARO;DUPLA;RETA;SIM;0
SC;BR-101;TUBARAO;3;1;SEXTA-FEIRA;4;0;22;21H-23H;NOITE;PLENA NOITE;AUSÊNCIA DE REAÇÃO DO CONDUTOR;COLISÃO COM OBJETO;CÉU CLARO;MÚLTIPLA;"CURVA;DESVIO TEMPORÁRIO";NÃO;0
SC;BR-163;DIONISIO CERQUEIRA;3;1;SEXTA-FEIRA;4;0;20;18H-20H;NOITE;PLENA NOITE;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;SAÍDA DE LEITO CARROÇÁVEL;NUBLADO;SIMPLES;"ACLIVE;RETA";NÃO;0
CE;BR-020;TAUA;3;1;SEXTA-FEIRA;4;0;21;21H-23H;NOITE;PLENA NOITE;INGESTÃO DE ÁLCOOL PELO CONDUTOR;COLISÃO FRONTAL;CÉU CLARO;SIMPLES;RETA;SIM;1
RJ;BR-101;SAO GONCALO;3;1;SEXTA-FEIRA;4;0;23;21H-23H;NOITE;PLENA NOITE;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;COLISÃO TRASEIRA;CÉU CLARO;DUPLA;RETA;SIM;0
PE;BR-232;POMBOS;3;1;SEXTA-FEIRA;4;0;21;21H-23H;NOITE;PLENA NOITE;PEDESTRE CRUZAVA A PISTA FORA DA FAIXA;ATROPELAMENTO DE PEDESTRE;NUBLADO;DUPLA;CURVA;NÃO;0
PI;BR-316;PICOS;3;1;SEXTA-FEIRA;4;0;23;21H-23H;NOITE;PLENA NOITE;TRANSITAR NA CONTRAMÃO;COLISÃO FRONTAL;CÉU CLARO;DUPLA;RETA;NÃO;0
SC;BR-101;JOINVILLE;3;1;SEXTA-FEIRA;4;0;22;21H-23H;NOITE;PLENA NOITE;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;COLISÃO TRASEIRA;NUBLADO;DUPLA;RETA;NÃO;0
PB;BR-230;BOA VISTA;3;1;SEXTA-FEIRA;4;0;23;21H-23H;NOITE;PLENA NOITE;AUSÊNCIA DE REAÇÃO DO CONDUTOR;SAÍDA DE LEITO CARROÇÁVEL;CHUVA;SIMPLES;RETA;NÃO;0
RS;BR-116;CAXIAS DO SUL;3;1;SEXTA-FEIRA;4;0;23;21H-23H;NOITE;PLENA NOITE;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;COLISÃO COM OBJETO;CÉU CLARO;DUPLA;INTERSEÇÃO DE VIAS;SIM;0
SC;BR-116;MAFRA;3;1;SEXTA-FEIRA;4;0;22;21H-23H;NOITE;PLENA NOITE;PISTA ESCORREGADIA;QUEDA DE OCUPANTE DE VEÍCULO;IGNORADO;SIMPLES;ROTATÓRIA;SIM;0
